FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2
2011,3,Obligations,N/A, MCC ,Madagascar,Madagascar,Economic Development,Financial Sector," $(1,431,473.00)",-1431473,-1431473
2011,4,Disbursements,Economic Support Fund,usaid,Sierra Leone,Sierra Leone,Program Management,Direct Administrative Costs," $238,960.61 ",238960.61,238960.61
2011,2,Disbursements,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Vietnam,Education and Social Services,Social Services," $322,200.00 ",322200,322200
2009,2,Disbursements,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Azerbaijan,Azerbaijan,Health,Other Public Health Threats," $625,592.04 ",625592.04,625592.04
2013,4,Disbursements,N/A,usaid,East Africa Region,East Africa Region,"Democracy, Human Rights, and Governance",Good Governance," $104,316.30 ",104316.3,104316.3
2011,3,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Swaziland,Humanitarian Assistance,Disaster Readiness," $685,000.00 ",685000,685000
2011,3,Disbursements,Economic Support Fund,usaid,West Bank and Gaza,West Bank and Gaza,Economic Development,Infrastructure," $22,374,086.07 ",22374086.07,22374086.07
2009,4,Obligations,Economic Support Fund, USAID ,Cambodia,Cambodia,"Democracy, Human Rights, and Governance",Good Governance," $1,810,992.40 ",1810992.4,1810992.4
2010,1,Disbsmnt.,Operating Expenses,usaid,Zambia,Worldwide,Program Management,Direct Administrative Costs," $771,625.16 ",771625.16,771625.16
2014,2,Obligations,N/A,PEACE CORPS,"Gambia, The","Gambia, The",,Environment - General," $193,494.75 ",193494.75,193494.75
2009,3,Obligations,Development Assistance, USAID ,Kenya,Kenya,Peace and Security,Conflict Mitigation and Reconciliation," $3,373.00 ",3373,3373
2011,1,Disbursements,Special Assistance Initiatives,usaid,USAID Operating Expense,Worldwide,Program Management,Direct Administrative Costs, $6.04 ,6.04,6.04
2013,2,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Bolivia,Bolivia,Health,Family Planning and Reproductive Health," $(4,852.00)",-4852,-4852
2010,4,Disbsmnt.,"Assistance for Europe, Eurasia and Central Asia",usaid,Kosovo,Kosovo,Economic Development,Infrastructure," $637,221.02 ",637221.02,637221.02
2010,3,Disbsmnt.,Operating Expenses,usaid,Morocco,Worldwide,Program Management,Direct Administrative Costs," $602,690.25 ",602690.25,602690.25
2010,3,Disbsmnt.,N/A, MCC ,Morocco,Morocco,Program Management,Direct Administrative Costs," $24,361.28 ",24361.28,24361.28
2012,1,Disbursements,Development Assistance,usaid,Pakistan,Pakistan,Econ. Dev.,Infrastructure," $8,734.50 ",8734.5,8734.5
2010,3,Disbsmnt.,Global HIV/AIDS Initiative,U.S.A.I.D,Swaziland,Swaziland,Health,HIV/AIDS," $21,114.02 ",21114.02,21114.02
2011,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Georgia,Georgia,DRG,Rule of Law and Human Rights," $812,971.98 ",812971.98,812971.98
2011,4,Obligations,Global Health & Child Survival,usaid,Vietnam,Vietnam,Program Management,Direct Administrative Costs," $1,502,364.98 ",1502364.98,1502364.98
2013,2,Disbursements,International Disaster Assistance,usaid,Worldwide,Worldwide,Humanitarian Assistance,Disaster Readiness," $4,114,052.18 ",4114052.18,4114052.18
2013,3,Disbursements,Economic Support Fund,usaid,Haiti,Haiti,Humanitarian Assistance,Disaster Readiness," $5,976.64 ",5976.64,5976.64
2010,3,Disbsmnt.,Millennium Challenge Corporation,usaid,Albania,Albania,"Democracy, Human Rights, and Governance",Good Governance," $1,696,129.01 ",1696129.01,1696129.01
2011,2,Disbursements,Commodity Credit Corp Title II and III,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Angola,Humanitarian Assistance,"Protection, Assistance and Solutions"," $99,819.00 ",99819,99819
2012,3,Disbursements,Economic Support Fund,usaid,Cyprus,Cyprus,Peace and Security,Conflict Mitigation and Reconciliation," $1,974,838.92 ",1974838.92,1974838.92
2012,4,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Caribbean Region,Humanitarian Assistance,Disaster Readiness," $309,206.01 ",309206.01,309206.01
2012,2,Disbursements,Assist. For N.I.S Of Former Soviet Union,usaid,Belarus,Belarus,"Democracy, Human Rights, and Governance",Civil Society," $(360,118.00)",-360118,-360118
2013,4,Disbursements,N/A,usaid,Honduras,Honduras,ENVIRONMENT,Clean Productive Environment," $590,000.00 ",590000,590000
2009,4,Disbursements,Economic Support Fund, USAID ,Bangladesh,Bangladesh,"Democracy, Human Rights, and Governance",Civil Society," $290,332.50 ",290332.5,290332.5
2012,,Obligations,N/A,USADF,Ethiopia,Ethiopia,,Agriculture," $31,777.00 ",31777,31777
2010,1,Disbsmnt.,Development Assistance,usaid,USAID Central America Regional,Central American Region,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $10,855.18 ",10855.18,10855.18
2012,1,Obligations,Global Health & Child Survival,usaid,Mexico,Mexico,Program Management,Direct Administrative Costs," $53,266.48 ",53266.48,53266.48
2009,4,Disbursements,Economic Support Fund, USAID ,Zimbabwe,Zimbabwe,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $(2,731.94)",-2731.94,-2731.94
2013,3,Obligations,Commodity Credit Corp Title II and III,usaid,Pakistan,Pakistan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $111,332.00 ",111332,111332
2013,4,Disbursements,International Disaster Assistance,usaid,Tanzania,Tanzania,Humanitarian Assistance,"Protection, Assistance and Solutions"," $100,000.00 ",100000,100000
2010,2,Obgl.,Development Credit Authority-Financ Acct,usaid,"USAID Economic Growth, Education and Environment",Jamaica,Economic Development,Financial Sector," $45,878.70 ",45878.7,45878.7
2014,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,Bangladesh,Bangladesh,Health,Tuberculosis," $2,695,981.02 ",2695981.02,2695981.02
2014,2,Disbursements,International Disaster Assistance,usaid,East Asia Region,East Asia Region,Humanitarian Assistance,"Protection, Assistance and Solutions"," $3,078.04 ",3078.04,3078.04
2013,,Obligations,N/A,Treasury,Bosnia and Herzegovina,Bosnia and Herzegovina,,Financial Sector," $68,951.50 ",68951.5,68951.5
2011,4,Disbursements,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Afghanistan,Peace and Security,Conflict Mitigation and Reconciliation," $4,026,859.62 ",4026859.62,4026859.62
2014,1,Disbursements,N/A,PEACE CORPS,Ethiopia,Ethiopia,,Education and Social Services - General," $401,099.72 ",401099.72,401099.72
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Uzbekistan,Uzbekistan,Health,Other Public Health Threats," $(18,007.06)",-18007.06,-18007.06
2011,3,Disbursements,Economic Support Fund,usaid,Djibouti,Djibouti,DRG,Political Competition and Consensus-Building," $197,008.31 ",197008.31,197008.31
2012,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID South America Regional,Peru,Health,Malaria," $338,100.00 ",338100,338100
2012,4,Obligations,Global Health & Child Survival,usaid,USAID Regional Development Mission-Asia,East Asia Region,Program Management,Direct Administrative Costs," $834,710.24 ",834710.24,834710.24
2011,2,Disbursements,Development Assistance,usaid,USAID Office of Development Partners,Worldwide,Humanitarian Assistance,Disaster Readiness," $196,603.96 ",196603.96,196603.96
2010,4,Disbsmnt.,N/A, MCC ,Madagascar,Madagascar,Program Management,Direct Administrative Costs," $210,401.24 ",210401.24,210401.24
2012,1,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Indonesia,Humanitarian Assistance,Disaster Readiness," $360,237.29 ",360237.29,360237.29
2011,4,Obligations,Economic Support Fund,usaid,Iraq,Iraq,Peace and Security,Stabilization Operations and Security Sector Reform," $(416,645.61)",-416645.61,-416645.61
2010,2,Disbsmnt.,Commodity Credit Corporation,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Haiti,Humanitarian Assistance,"Protection, Assistance and Solutions"," $(23,034.00)",-23034,-23034
2011,3,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Uganda,Humanitarian Assistance,"Protection, Assistance and Solutions"," $135,100.00 ",135100,135100
2009,2,Disbursements,Development Assistance, USAID ,USAID Office of Development Partners,Mozambique,Program Management,Monitoring and Evaluation," $13,225.00 ",13225,13225
2014,,Disbursements,N/A,USADF,Botswana,Botswana,,Economic Opportunity," $25,552.50 ",25552.5,25552.5
2012,3,Obligations,N/A, MCC ,Zambia,Zambia,multi-sector,Multi-Sector - Unspecified," $234,803.80 ",234803.8,234803.8
2011,4,Obligations,Global Health & Child Survival,usaid,Tanzania,Tanzania,Program Management,Monitoring and Evaluation," $2,195,491.00 ",2195491,2195491
2014,2,Disbursements,N/A,usaid,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Economic Development,Agriculture," $21,653.99 ",21653.99,21653.99
2012,4,Disbursements,Global Health & Child Survival,usaid,Papua New Guinea,Papua New Guinea,Program Management,Direct Administrative Costs," $8,137.64 ",8137.64,8137.64
2010,4,Disbsmnt.,Global Health & Child Survival,usaid,Papua New Guinea,East Asia Region,Program Management,Direct Administrative Costs," $78,333.20 ",78333.2,78333.2
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",U.S.A.I.D,Kosovo,Kosovo,Health,Water Supply and Sanitation," $814,000.00 ",814000,814000
20014,0,Disbursements,N/A,DoD,Belize,Belize,Peace and Security,Counterterrorism," $58,891.00 ",58891,58891
2009,4,Obligations,Development Assistance, USAID ,Malawi,Malawi,Economic Development,Private Sector Competitiveness," $1,243,000.00 ",1243000,1243000
2013,3,Disbursements,Economic Support Fund,usaid,Bangladesh,Bangladesh,Program Management,Monitoring and Evaluation, $11.72 ,11.72,11.72
2009,4,Obligations,Economic Support Fund, USAID ,Liberia,Liberia,Economic Development,Private Sector Competitiveness," $8,618,000.00 ",8618000,8618000
2013,4,Disbursements,N/A,usaid,Kazakhstan,Kazakhstan,"Democracy, Human Rights, and Governance",Good Governance, $(16.00),-16,-16
2010,4,Disbsmnt.,Development Assistance,usaid,USAID West Africa Regional,West Africa Region,Peace and Security,Conflict Mitigation and Reconciliation," $501,975.96 ",501975.96,501975.96
2013,3,Disbursements,N/A,usaid,Worldwide,Worldwide,Economic Development,Trade and Investment," $823,737.12 ",823737.12,823737.12
2009,4,Disbursements,N/A, MCC ,Mali,Mali,Economic Development,Infrastructure," $2,999,823.74 ",2999823.74,2999823.74
2013,1,Obligations,N/A,usaid,Uganda,Uganda,"Democracy, Human Rights, and Governance",Civil Society," $1,515,909.80 ",1515909.8,1515909.8
2010,3,Obgl.,"Assistance for Europe, Eurasia and Central Asia",usaid,Armenia,Armenia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $675,000.00 ",675000,675000
2013,,Obligations,N/A,Treasury,Indonesia,Indonesia,,Financial Sector," $951,764.24 ",951764.24,951764.24
2011,1,Obligations,Development Assistance,usaid,Seychelles,Seychelles,Education and Social Services,Social Services, $(714.18),-714.18,-714.18
2010,1,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Georgia,Georgia,Health,Maternal and Child Health," $324,477.91 ",324477.91,324477.91
2010,3,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Tanzania,Health,Maternal and Child Health," $47,618.81 ",47618.81,47618.81
2012,1,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Kazakhstan,Kazakhstan,"Democracy, Human Rights, and Governance",Civil Society," $471,681.18 ",471681.18,471681.18
2009,4,Obligations,Economic Support Fund,U.S.A.I.D,Afghanistan,Afghanistan,Health,Maternal and Child Health," $5,457,799.00 ",5457799,5457799
2011,3,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Iraq,Humanitarian Assistance,"Protection, Assistance and Solutions"," $14,750,000.00 ",14750000,14750000
2009,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,Philippines,Philippines,Health,Tuberculosis," $326,530.91 ",326530.91,326530.91
2009,4,Obligations,Development Assistance, USAID ,USAID Office of Development Partners,East Asia Region,Program Management,Monitoring and Evaluation," $32,043.27 ",32043.27,32043.27
2010,3,Disbsmnt.,Development Assistance,usaid,Djibouti,Djibouti,Education and Social Services,Basic Education," $482,730.57 ",482730.57,482730.57
2012,1,Disbursements,N/A,PEACE CORPS,Cape Verde,Cape Verde,,Direct Administrative Costs," $1,276,082.10 ",1276082.1,1276082.1
2014,2,Disbursements,N/A,usaid,Bangladesh,Bangladesh,Economic Development,Private Sector Competitiveness," $428,866.22 ",428866.22,428866.22
2012,3,Obligations,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Azerbaijan,Azerbaijan,Health,Family Planning and Reproductive Health, $(237.15),-237.15,-237.15
2010,3,Disbsmnt.,Development Assistance,usaid,USAID Latin America and Caribbean Regional,Bolivia,ENVIRONMENT,Natural Resources and Biodiversity," $25,000.00 ",25000,25000
2010,2,Disbsmnt.,Development Assistance,usaid,USAID Africa Regional,Africa Region,Economic Development,Trade and Investment," $880,826.97 ",880826.97,880826.97
2012,3,Obligations,Child Survival and Health Programs Fund,U.S.A.I.D,USAID Global Health,Worldwide,Health,Family Planning and Reproductive Health," $(1,630,863.86)",-1630863.86,-1630863.86
2009,4,Obligations,Development Assistance, USAID ,China,East Asia Region,ENVIRONMENT,Natural Resources and Biodiversity," $900,000.00 ",900000,900000
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union, USAID ,Turkmenistan,Turkmenistan,Program Management,Monitoring and Evaluation," $(19,522.77)",-19522.77,-19522.77
2014,2,Disbursements,Economic Support Fund,usaid,Jordan,Jordan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $1,586,788.82 ",1586788.82,1586788.82
2009,4,Disbursements,Economic Support Fund, USAID ,Peru,Peru,Peace and Security,Counter-Narcotics," $4,251,641.14 ",4251641.14,4251641.14
2013,3,Disbursements,Economic Support Fund,usaid,Iraq,Iraq,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $2,067,690.00 ",2067690,2067690
2011,2,Disbursements,Development Assistance,usaid,Nicaragua,Nicaragua,DRG,Good Governance," $308,149.48 ",308149.48,308149.48
2013,3,Obligations,Global HIV/AIDS Initiative,U.S.A.I.D,Kenya,Kenya,Health,HIV/AIDS," $(25,317.36)",-25317.36,-25317.36
2014,1,Obligations,Commodity Credit Corp Title II and III,usaid,Zimbabwe,Zimbabwe,Economic Development,Agriculture," $439,506.36 ",439506.36,439506.36
2012,1,Disbursements,N/A,PEACE CORPS,Guyana,Guyana,,Multi-Sector - Unspecified," $1,341.00 ",1341,1341
2011,4,Disbursements,Development Assistance,usaid,"USAID Economic Growth, Education and Environment",Worldwide,Program Management,Direct Administrative Costs," $4,402,112.58 ",4402112.58,4402112.58
2012,4,Disbursements,Development Assistance,usaid,Guinea,Guinea,Program Management,Direct Administrative Costs," $301,388.90 ",301388.9,301388.9
2011,1,Disbursements,"Assistance for Europe, Eurasia and Central Asia",U.S.A.I.D,Georgia,Georgia,Health,Maternal and Child Health," $545,422.06 ",545422.0600000001,545422.0600000001
2007,4,Disbursements,N/A, MCC ,Lesotho,Lesotho,multi-sector,Multi-Sector - Unspecified," $1,298,843.70 ",1298843.7,1298843.7
2011,3,Disbursements,Development Assistance,usaid,Uganda,Uganda,Education and Social Services,Basic Education," $4,683,428.00 ",4683428,4683428
2010,4,Obgl.,Economic Support Fund,usaid,"USAID Economic Growth, Education and Environment",Near East Region,Peace and Security,Conflict Mitigation and Reconciliation," $3,341,035.00 ",3341035,3341035
2012,4,Disbursements,Development Assistance,usaid,Philippines,Philippines,Econ. Dev.,Trade and Investment," $254,363.19 ",254363.19,254363.19
2010,4,Obgl.,"Assistance for Europe, Eurasia and Central Asia",usaid,Azerbaijan,Azerbaijan,Economic Development,Private Sector Competitiveness," $1,600,000.00 ",1600000,1600000
2009,2,Disbursements,Special Assistance Initiatives, USAID ,Joint Eurasia Regional,Eastern European Region,Education and Social Services,"Social Policies, Regulations, and Systems"," $163,274.26 ",163274.26,163274.26
2009,4,Obligations,N/A, MCC ,Morocco,Morocco,multi-sector,Multi-Sector - Unspecified," $111,332.17 ",111332.17,111332.17
2012,3,Obligations,Operating Expenses,usaid,Pakistan,Worldwide,Program Management,Direct Administrative Costs," $6,035,653.61 ",6035653.61,6035653.61
2013,1,Disbursements,N/A,usaid,Nigeria,Nigeria,Economic Development,Financial Sector," $2,322.10 ",2322.1,2322.1
2010,1,Disbsmnt.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",East Africa Region,Humanitarian Assistance,"Protection, Assistance and Solutions"," $134,135.20 ",134135.2,134135.2
2012,2,Obligations,Operating Expenses,usaid,Sri Lanka,Worldwide,Program Management,Direct Administrative Costs," $608,913.41 ",608913.41,608913.41
2013,2,Disbursements,Economic Support Fund,usaid,Sierra Leone,Sierra Leone,Program Management,Direct Administrative Costs," $59,472.35 ",59472.35,59472.35
