FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2,notCountry
2009,3,Obligations,Unknown,MCC,Lesotho,Lesotho,Program Management,Direct Administrative Costs," $(122,318.00)",-122318,-122318,0
2014,2,Obligations,Unknown,USAID,Central Africa Region Program for Environment,Central Africa Region Program for Environment,Environment,Natural Resources and Biodiversity," $2,400,000.00 ",2400000,2400000,1
2012,1,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Mozambique,Humanitarian Assistance,"Protection, Assistance and Solutions"," $(1,744.78)",-1744.78,-1744.78,0
2011,3,Disbursements,Global Health & Child Survival,USAID,Tanzania,Tanzania,Program Management,Monitoring and Evaluation," $150,135.93 ",150135.93,150135.93,0
2014,2,Obligations,International Disaster Assistance,USAID,Papua New Guinea,Papua New Guinea,Humanitarian Assistance,Disaster Readiness," $1,250,000.00 ",1250000,1250000,0
2010,4,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Lebanon,"Democracy, Human Rights, And Governance",Civil Society, $(782.23),-782.23,-782.23,0
2009,1,Disbursements,Development Assistance,USAID,Haiti,Haiti,Humanitarian Assistance,Disaster Readiness," $80,772.71 ",80772.71000000001,80772.71000000001,0
2009,3,Disbursements,Global Health & Child Survival,USAID,USAID Global Health,China,Health,Pandemic Influenza and Other Emerging Threats ," $41,484.55 ",41484.55,41484.55,0
2009,4,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Mauritania,Humanitarian Assistance,"Protection, Assistance and Solutions"," $660,279.49 ",660279.49,660279.49,0
2014,1,Obligations,Unknown,Peace Corps,Paraguay,Paraguay,Missing,Environment - General," $305,755.99 ",305755.99,305755.99,0
2012,4,Obligations,Development Assistance,USAID,Uganda,Uganda,"Democracy, Human Rights, And Governance",Civil Society," $1,900,000.00 ",1900000,1900000,0
2013,3,Obligations,Economic Support Fund,USAID,Jamaica,Jamaica,Program Management,Direct Administrative Costs," $28,803.25 ",28803.25,28803.25,0
2007,4,Disbursements,Unknown,MCC,Senegal,Senegal,Economic Development,Private Sector Competitiveness," $414,376.86 ",414376.86,414376.86,0
2011,4,Obligations,Economic Support Fund,USAID,Nepal,Nepal,Economic Development,Private Sector Competitiveness," $2,100,000.00 ",2100000,2100000,0
2012,1,Disbursements,Economic Support Fund,USAID,Benin,Benin,Education And Social Services,Social Assistance," $89,297.88 ",89297.88000000001,89297.88000000001,0
2013,1,Disbursements,Unknown,USAID,Nepal,Nepal,Economic Development,Agriculture," $2,267,752.23 ",2267752.23,2267752.23,0
2012,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Peru,Humanitarian Assistance,Disaster Readiness," $42,805.60 ",42805.6,42805.6,0
2010,4,Obligations,Economic Support Fund,USAID,Colombia,Colombia,Peace And Security,Stabilization Operations and Security Sector Reform," $17,935,000.00 ",17935000,17935000,0
2009,2,Obligations,Development Assistance,USAID,Honduras,Honduras,"Democracy, Human Rights, And Governance",Good Governance," $(452,252.00)",-452252,-452252,0
2010,4,Obligations,Development Assistance,USAID,Indonesia,Indonesia,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $248,000.00 ",248000,248000,0
2010,2,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Mozambique,Humanitarian Assistance,Disaster Readiness," $356,115.00 ",356115,356115,0
2011,2,Disbursements,Andean Counterdrug Initiative,USAID,Colombia,Colombia,Peace And Security,Stabilization Operations and Security Sector Reform," $4,238.26 ",4238.26,4238.26,0
2013,2,Obligations,Unknown,USAID,West Africa Region,West Africa Region,Education And Social Services,Basic Education, $33.62 ,33.62,33.62,1
2013,1,Disbursements,Unknown,USAID,Tajikistan,Tajikistan,Education And Social Services,Basic Education," $308,848.93 ",308848.93,308848.93,0
2012,3,Disbursements,Development Assistance,USAID,Philippines,Philippines,Economic Development,Economic Opportunity," $430,435.85 ",430435.85,430435.85,0
2013,4,Obligations,Child Survival and Health Programs Fund,USAID,Kenya,Kenya,Health,Maternal and Child Health," $(1,103.83)",-1103.83,-1103.83,0
2010,4,Disbursements,Development Assistance,USAID,USAID Africa Regional,Africa Region,Economic Development,Trade and Investment," $295,861.10 ",295861.1,295861.1,1
2010,3,Disbursements,Development Assistance,USAID,India,India,Environment,Clean Productive Environment," $(172,135.68)",-172135.68,-172135.68,0
2009,3,Obligations,Development Assistance,USAID,USAID Central Africa Regional,Central Africa Region Program for Environment,Environment,Clean Productive Environment," $14,772.00 ",14772,14772,1
2010,4,Obligations,Development Assistance,USAID,Ghana,Ghana,Environment,Natural Resources and Biodiversity," $1,680,000.00 ",1680000,1680000,0
2010,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Kazakhstan,Kazakhstan,Program Management,Monitoring and Evaluation," $100,000.00 ",100000,100000,0
2009,1,Disbursements,Global Health & Child Survival,USAID,Haiti,Haiti,Health,Tuberculosis," $4,070.93 ",4070.93,4070.93,0
2013,1,Obligations,Unknown,USAID,Brazil,Brazil,Environment,Clean Productive Environment," $500,000.00 ",500000,500000,0
2012,4,Obligations,Global Health & Child Survival,USAID,Senegal,Senegal,Program Management,Monitoring and Evaluation," $440,000.00 ",440000,440000,0
2013,2,Obligations,Global Health & Child Survival,USAID,Tanzania,Tanzania,Health,Family Planning and Reproductive Health," $3,075,000.00 ",3075000,3075000,0
2010,4,Disbursements,Development Assistance,USAID,Kenya,Kenya,"Democracy, Human Rights, And Governance",Good Governance," $1,072,752.05 ",1072752.05,1072752.05,0
2012,1,Disbursements,Economic Support Fund,USAID,Somalia,Somalia,Economic Development,Private Sector Competitiveness," $1,139,507.12 ",1139507.12,1139507.12,0
2013,3,Obligations,Economic Support Fund,USAID,Indonesia,Indonesia,Economic Development,Trade and Investment," $645,310.61 ",645310.61,645310.61,0
2010,2,Disbursements,Economic Support Fund,USAID,Lebanon,Lebanon,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,896,493.05 ",1896493.05,1896493.05,0
2012,3,Obligations,Unknown,MCC,Indonesia,Indonesia,Multi-Sector,Multi-Sector - Unspecified," $516,053.55 ",516053.55,516053.55,0
2014,2,Disbursements,Unknown,USAID,Honduras,Honduras,Environment,Natural Resources and Biodiversity," $455,276.54 ",455276.54,455276.54,0
2012,3,Obligations,Economic Support Fund,USAID,Colombia,Colombia,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $6,714,000.00 ",6714000,6714000,0
2013,2,Disbursements,Unknown,USAID,Ethiopia,Ethiopia,Education And Social Services,Higher Education," $30,441.01 ",30441.01,30441.01,0
2010,4,Obligations,Child Survival and Health Programs Fund,USAID,USAID Global Health,Worldwide,Health,Tuberculosis," $(74,277.03)",-74277.03,-74277.03,0
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Armenia,Armenia,Economic Development,Trade and Investment," $4,332,922.00 ",4332922,4332922,0
2011,3,Disbursements,Economic Support Fund,USAID,Cuba,Colombia,"Democracy, Human Rights, And Governance",Civil Society, $771.36 ,771.36,771.36,0
2011,4,Obligations,Unknown,USAID,Chad,Chad,Economic Development,Agriculture," $618,370.00 ",618370,618370,0
2012,3,Disbursements,Global Health & Child Survival,USAID,USAID Regional Development Mission-Asia,East Asia Region,Program Management,Monitoring and Evaluation," $28,546.98 ",28546.98,28546.98,1
2013,1,Obligations,Child Survival and Health Programs Fund,USAID,Malawi,Malawi,Program Management,Direct Administrative Costs," $(466,299.94)",-466299.94,-466299.94,0
2013,3,Obligations,Unknown,USAID,Macedonia,Macedonia,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $448,866.00 ",448866,448866,0
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Joint Eurasia Regional,Eurasia Region,Economic Development,Infrastructure," $52,433.50 ",52433.5,52433.5,1
2011,4,Obligations,Operating Expenses,USAID,USAID Central Asia Regional,Worldwide,Program Management,Direct Administrative Costs," $6,171,356.48 ",6171356.48,6171356.48,0
2012,3,Disbursements,Development Assistance,USAID,Peru,Peru,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $748,867.86 ",748867.86,748867.86,0
2013,1,Disbursements,Global Health & Child Survival,USAID,Afghanistan,Afghanistan,Health,Family Planning and Reproductive Health," $3,056,168.97 ",3056168.97,3056168.97,0
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Turkmenistan,Turkmenistan,Economic Development,Infrastructure," $307,996.15 ",307996.15,307996.15,0
2009,3,Disbursements,Global Health & Child Survival,USAID,Rwanda,Rwanda,Health,Family Planning and Reproductive Health," $65,262.59 ",65262.59,65262.59,0
2014,2,Disbursements,Economic Support Fund,USAID,Kenya,Kenya,Economic Development,Private Sector Competitiveness," $(123,432.12)",-123432.12,-123432.12,0
2012,1,Disbursements,Development Assistance,USAID,Nigeria,Nigeria,Economic Development,Financial Sector," $575,000.00 ",575000,575000,0
2013,2,Disbursements,Unknown,USDA,"Congo, Republic of","Congo, Republic of",Missing,Nutrition," $1,118,701.58 ",1118701.58,1118701.58,0
2013,1,Obligations,Central America-Carib Emergency Dis Rec,USAID,Nicaragua,Nicaragua,Economic Development,Agriculture," $99,891.41 ",99891.41,99891.41,0
2010,1,Disbursements,Global Health & Child Survival,USAID,Kenya,Kenya,Program Management,Monitoring and Evaluation," $29,641.11 ",29641.11,29641.11,0
2011,4,Disbursements,Development Assistance,USAID,Kenya,Kenya,Program Management,Monitoring and Evaluation," $169,914.11 ",169914.11,169914.11,0
2011,3,Disbursements,Economic Support Fund,USAID,Zambia,Zambia,Economic Development,Agriculture," $214,904.00 ",214904,214904,0
2011,4,Obligations,Global Health & Child Survival,USAID,Malawi,Malawi,Health,HIV/AIDS," $36,559,285.00 ",36559285,36559285,0
2009,1,Disbursements,Economic Support Fund,USAID,China,East Asia Region,Education And Social Services,Social Services," $13,795.52 ",13795.52,13795.52,1
2013,3,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Turkmenistan,Turkmenistan,Program Management,Direct Administrative Costs," $(41,896.21)",-41896.21,-41896.21,0
2009,3,Disbursements,Global HIV/AIDS Initiative,USAID,Malawi,Malawi,Health,HIV/AIDS," $407,000.00 ",407000,407000,0
2010,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Philippines,Program Management,Direct Administrative Costs," $103,014.44 ",103014.44,103014.44,0
2009,4,Disbursements,Development Assistance,USAID,South Africa,South Africa,Economic Development,Private Sector Competitiveness," $1,634,788.74 ",1634788.74,1634788.74,0
2006,3,Obligations,Unknown,MCC,MCC - General Office,MCC - General Office,Program Management,Direct Administrative Costs," $14,991,032.19 ",14991032.19,14991032.19,1
2009,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Tajikistan,Tajikistan,Economic Development,Macroeconomic Foundation for Growth," $30,000.00 ",30000,30000,0
2014,2,Obligations,Economic Support Fund,USAID,Moldova,Moldova,"Democracy, Human Rights, And Governance",Civil Society," $100,000.00 ",100000,100000,0
2009,4,Obligations,Unknown,MCC,Guyana,Guyana,Multi-Sector,Multi-Sector - Unspecified," $31,777.44 ",31777.44,31777.44,0
2011,4,Disbursements,Gifts and Donations,USAID,Zambia,Zambia,Health,Malaria," $53,083.80 ",53083.8,53083.8,0
2011,1,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Moldova,Moldova,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $3,379.18 ",3379.18,3379.18,0
2009,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Ukraine,Ukraine,Health,Tuberculosis," $1,429,588.00 ",1429588,1429588,0
2012,4,Obligations,Unknown,DOS,Joint Europe and Eurasia Regional,Joint Europe and Eurasia Regional,Missing,Multi-Sector - Unspecified," $16,068,956.36 ",16068956.36,16068956.36,1
2009,2,Disbursements,Global Health & Child Survival,USAID,USAID East Africa Regional,East Africa Region,Health,Maternal and Child Health," $40,039.57 ",40039.57,40039.57,1
2006,1,Disbursements,Unknown,MCC,Honduras,Honduras,Multi-Sector,Multi-Sector - Unspecified," $146,816.37 ",146816.37,146816.37,0
2012,4,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Kyrgyz Republic,Kosovo,Health,HIV/AIDS," $(2,829.77)",-2829.77,-2829.77,0
2009,1,Obligations,Operating Expenses,USAID,Senegal,Worldwide,Program Management,Direct Administrative Costs," $552,137.66 ",552137.66,552137.66,0
2011,2,Obligations,Development Assistance,USAID,USAID Southern Africa Regional,South Africa Region,Environment,Clean Productive Environment," $1,941,876.00 ",1941876,1941876,1
2010,1,Obligations,Global Health & Child Survival,USAID,USAID Regional Development Mission-Asia,East Asia Region,Program Management,Monitoring and Evaluation," $30,166.00 ",30166,30166,1
2013,3,Obligations,Global Health & Child Survival,USAID,Tajikistan,Tajikistan,Health,Maternal and Child Health," $675,000.00 ",675000,675000,0
2013,1,Obligations,Economic Support Fund,USAID,East Asia Region,East Asia Region,Program Management,Monitoring and Evaluation," $14,270.00 ",14270,14270,1
2010,1,Disbursements,Development Assistance,USAID,USAID Latin America and Caribbean Regional,El Salvador,"Democracy, Human Rights, And Governance",Civil Society," $1,614.74 ",1614.74,1614.74,0
2012,4,Obligations,Unknown,DOS,Belize,Belize,Missing,Multi-Sector - Unspecified," $161,115.25 ",161115.25,161115.25,0
2012,4,Obligations,Development Assistance,USAID,Ghana,Ghana,"Democracy, Human Rights, And Governance",Good Governance," $5,058,000.00 ",5058000,5058000,0
2009,3,Disbursements,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Afghanistan,"Democracy, Human Rights, And Governance",Good Governance," $150,000.00 ",150000,150000,0
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kyrgyz Republic,Kosovo,Education And Social Services,Basic Education," $2,155.00 ",2155,2155,0
2012,1,Disbursements,Development Assistance,USAID,Brazil,Brazil,Economic Development,Infrastructure," $30,184.23 ",30184.23,30184.23,0
2009,1,Disbursements,IG Operating Expenses,USAID,USAID Operating Expense,Worldwide,Program Management,Direct Administrative Costs," $24,521.27 ",24521.27,24521.27,0
2013,2,Disbursements,Unknown,USAID,Africa Region,Africa Region,Education And Social Services,Higher Education," $3,602,399.78 ",3602399.78,3602399.78,1
2009,3,Disbursements,Economic Support Fund,USAID,Haiti,Haiti,Economic Development,Infrastructure," $5,340,357.96 ",5340357.96,5340357.96,0
2012,1,Disbursements,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Kosovo,Program Management,Direct Administrative Costs," $169,140.33 ",169140.33,169140.33,0
2011,,Obligations,Unknown,Treasury,Mongolia,N/A,Economic Development,Financial Sector," $460,475.26 ",460475.26,460475.26,0
2009,3,Disbursements,Operating Expenses,USAID,Mongolia,Worldwide,Program Management,Direct Administrative Costs," $132,278.00 ",132278,132278,0
2012,2,Disbursements,Development Assistance,USAID,USAID South America Regional,Peru,Program Management,Direct Administrative Costs," $13,912.25 ",13912.25,13912.25,0
2010,1,Obligations,Development Assistance,USAID,USAID Middle East Regional,South Asia Region,Program Management,Direct Administrative Costs," $96,108.48 ",96108.48,96108.48,1
2013,4,Obligations,Economic Support Fund,USAID,Sierra Leone,Sierra Leone,Education And Social Services,Social Assistance," $299,994.00 ",299994,299994,0
2012,3,Disbursements,Development Assistance,USAID,Vietnam,Vietnam,Economic Development,Agriculture, $(873.17),-873.17,-873.17,0
2009,1,Disbursements,Global Health & Child Survival,USAID,Ghana,Ghana,Health,Malaria," $471,615.87 ",471615.87,471615.87,0
2010,2,Disbursements,Unknown,MCC,Benin,Benin,Multi-Sector,Multi-Sector - Unspecified," $209,515.52 ",209515.52,209515.52,0
2014,2,Disbursements,Transition Initiatives,USAID,Syrian Arab Republic,Syrian Arab Republic,Program Management,Direct Administrative Costs," $1,001,070.53 ",1001070.53,1001070.53,0
